"city"	"count"
"广东"	"85"
"天津"	"16"
"辽宁"	"90"
"云南"	"948"
"湖北"	"31"
"四川"	"1621"
"黄海"	"21"
"西藏"	"1080"
"北部"	"3"
"台湾"	"770"
"宁夏"	"52"
"海南"	"7"
"贵州"	"62"
"江苏"	"44"
"黑龙"	"38"
"渤海"	"13"
"湖南"	"10"
"重庆"	"52"
"东海"	"8"
"北京"	"32"
"山东"	"69"
"新疆"	"3251"
"浙江"	"27"
"江西"	"10"
"河南"	"31"
"南海"	"12"
"广西"	"32"
"青海"	"763"
"山西"	"84"
"福建"	"31"
"内蒙"	"211"
"河北"	"211"
"上海"	"1"
"甘肃"	"239"
"吉林"	"90"
"安徽"	"33"
"陕西"	"61"
