"id"	"time"	"name"	"length"	"geom"
"1"	"Qp1-QP2"	"中一凹陷北侧断裂"	"88.7955610495"	"0105000020E610000001000000010200000011000000663387A4167C5E4044F7AC6BB400434011FFB0A5477F5E4096B4E21B0A014340349C3237DF815E40CD8FBFB4A801434026DF6C7363845E4064E597C118034340AF94658863865E40DCB930D28B04434019CBF44BC4895E4011C30E63D2054340DCD440F3398D5E4089B663EAAE06434013D38558FD8F5E4034BF9A0304074340DAA84E07B2935E404D49D6E1E8064340AE4A22FB20975E40EAB46E83DA054340CD237F30F0995E4018CC5F2173034340ED7E15E0BB9C5E4083A3E4D53900434040DCD5ABC89F5E4066BCADF4DAFC4240800EF3E505A35E4051A5660FB4FA42403509DE9046A75E408D43FD2E6CF74240D68BA19C68A95E408B19E1ED41F64240F18288D4B4AB5E40C51C041DADF44240"
"2"	"Qp1-QP2"		"71.5422641366"	"0105000020E61000000100000001020000000800000094FB1D8A02FF5C4060C9552C7EBB414006B8205B96FE5C406AC020E9D3C44140E0A128D027FE5C4088BD50C076CE41402A745E6397FE5C40C93846B247DA4140AEEFC34142FF5C40A3923A014DE441403A7AFCDEA6005D40C1C6F5EFFAEE414087FE092E56015D4001A1F5F065F84140BF0F070951025D401096B1A19BFD4140"
"3"	"Qp1-QP2"	"陈南断裂"	"68.0355241727"	"0105000020E61000000100000001020000000C00000097AC8A70938F5D40676325E659CB4240118AADA069945D403DEFC682C2CC42404567994528985D401F84807C09CD4240D175E107E79B5D406612F5824FCD424030F65E7CD19F5D405455682096CD4240E2B034F0A3A35D40C093162EABCE424071E481C822A75D40572250FD83CE4240C405A051BAAA5D409ACE4E0647CD424007431D56B8AD5D403F355EBA49CC4240F168E388B5B05D400F45813E91CB42407DE882FA96B35D40F9A23D5E48CD4240C4D0EAE40CB65D40D82AC1E270CE4240"
"4"	"Qp1-QP2"	"辽西1号断裂"	"115.540774782"	"0105000020E610000001000000010200000010000000D447E00F3F125E402DB0C7444AC54340F584251E50155E4026A8E15B58C743406F9C14E63D175E409E7DE5417ACA4340C0EC9E3C2C195E40340F60915FCF43401DE736E15E1B5E4008AF5DDA70D64340F241CF66D51D5E40B08D78B29BDB43400116F9F543215E401171732A19E04340A6B73F170D255E40062CB98AC5E34340F646AD307D285E408BE07F2BD9E74340EE3F321D3A2B5E40B1F9B83654EC4340E2B19FC5522E5E4091459A7807F24340FA635A9BC6315E40304B3B3597F74340361D01DC2C345E40FEB627486CFD4340A8C5E061DA365E406F4562821A064440DF516342CC395E40D5B32094F70D4440E8A221E3513B5E4049809A5AB6124440"
"5"	"Qp1-QP2"	"齐河-广饶断裂"	"243.334201711"	"0105000020E6100000010000000102000000160000000BCF4BC5C6095D403EEC8502B6574240FB58C16F43115D407B336ABE4A5E424059130B7C45155D40616D8C9DF06042403B6F63B3231B5D4075AC527AA6674240B491EBA694235D40E202D0285D704240BD8BF7E3F62B5D403291D26C1E754240BA9EE8BAF0325D402A1A6B7F67774240C8CD70033E385D40789961A3AC7B42404C546F0D6C3C5D40FBCA83F4147F4240508F6D1970435D405C04C6FA06804240B58D3F51D9495D40573F36C98F7E4240B77D8FFAEB4F5D4012329067977D4240AF5A99F04B565D402B1213D4F07D42401A5245F12A5A5D401F84807C098142400725CCB4FD5F5D40ECDE8AC4048542405F09A4C4AE655D40778368AD68874240D95DA0A4C06B5D40588FFB56EB864240338AE59656725D40B8AE9811DE8442402D7AA702EE785D40056B9C4D47824240AA9B8BBFED815D40F12DAC1BEF82424081CEA44DD5875D407FF62345648242409FE74F1BD58D5D4016325706D5804240"
"6"	"Qp1-QP2"		"123.524595097"	"0105000020E61000000100000001020000000D000000BC92E4B9BE0A5D402DD2C43BC02F4340786000E143115D400A0F9A5DF73443401F662FDB4E175D4009A52F849C394340F2B56796041C5D40BE1589096A3E4340A260C614AC225D409DF4BEF1B5454340511553E927285D40916456EF704D43405D1ABFF04A2C5D40BFB9BF7ADC5543407F4B00FE292F5D40DFC0E446915B434006D50627A2315D40427A8A1C2264434067800BB265345D40349D9D0C8E6E43408D614ED026365D40AF5DDA7058724340BBB54C86E3395D400820B58993774340FD6CE4BA293C5D4017838769DF7A4340"
"7"	"Qp1-QP2"	"佟二堡-营口断裂"	"88.5508329717"	"0105000020E61000000100000001020000001400000085402E71E4DC5E408EC8772975D74440BAD91F28B7DA5E40895C70067FD544404E7ADFF8DAD75E4026732CEFAAD3444005FA449E24D55E40F27A30293ED244409D7FBBECD7D25E40C70F9546CCD044401ADB6B41EFCD5E403885950A2ACC44407FF5B86FB5CB5E40066344A2D0CA4440D28C45D3D9CA5E40868DB27E33C94440E867EA758BC85E40FDC1C073EFC3444013B9E00CFEC65E40C2BD326FD5C1444082AB3C81B0C55E40F0A31AF67BBE4440790261A758C45E40AA2B9FE579BC44400CB1FA230CC25E400ABFD4CF9BBA44404FCE50DCF1BF5E4049D9226937B84440080264E8D8BD5E4091459A7807B644407FBF982D59BB5E40B935E9B644B4444000C45DBD8AB85E405C02F04FA9B04440707841446AB75E407E1EA33CF3AE4440056A317898B55E402DEC6987BFAC444089D00836AEB45E40F29A577556AB4440"
"8"	"Qp1-QP2"	"莱北断裂"	"48.3339663606"	"0105000020E610000001000000010200000009000000616EF7729FD95D4024B5503239D9424096B4E21B0ADD5D401B81785DBFD84240079B3A8F8AE05D404E7FF62345D84240E04BE141B3E35D40580053060ED842407041B62C5FE75D404A9A3FA6B5D742400D535BEA20EB5D40957F2DAF5CD74240E0D8B3E732EE5D4030F2B22616D842407B319413EDF05D40A320787C7BD9424064EB19C231F55D40E90C8CBCACD94240"
"9"	"Qp1-QP2"	"城北断层"	"125.299608141"	"0105000020E61000000100000001020000001100000023827170E9B85D4025B20FB22C1A43405453927538B75D4067994528B61C4340333509DE90B45D403CDBA337DC1F4340A796ADF545B15D40381268B0A9234340A9DBD9571EAE5D40C58F31772D2743406269E04735AB5D408196AE601B294340B51A12F758A95D40A437DC476E2B4340944A7842AFA65D40DA54DD239B2F434089CF9D60FFA45D40965E9B8D9532434052F01472A5A15D405342B0AA5E36434008B0C8AF1F9E5D40B2DAFCBFEA38434097C5C4E6E39A5D40384D9F1D703B43407079AC1919965D405F99B7EA3A404340EDB60BCD75905D40E25B5837DE4543409F1EDB32E0865D4070CFF3A78D5243405EBD8A8C0E845D400E2DB29DEF554340F2B6D26BB37E5D4091EF52EA925B4340"
"10"	"Qp1-QP2"		"42.492341154"	"0105000020E6100000010000000102000000080000007714E7A8A3375D40D1048A58C440424067B96C74CE385D40C19140834D3D42408E3A3AAE46395D40616D8C9DF03642403A2009FB76395D40823CBB7CEB31424082397AFCDE395D40E867EA758B2E42406F9C14E63D3B5D40E140481630294240C77F8120403E5D40E59A02999D2142400D37E0F3C3405D40B8C9A8328C1D4240"
